iter,ID,FinalFT
1,D8,ACH(2)|LCH|CPP|LRM|LCN|HNE|VRM
1,D9,CPP|VRM|RAW|HBS
1,M1,WCI(0)|HRL|HNE|RCD|SNS|TRA|HBS
1,M2,ARM(7)|HRL|HNE|VRM
1,M3,"HRL|HNE|RCD|CPP| ACH(0,1,5)|LCH|TRA"
1,R1,RCW|HNE|RCD
1,R2,ACH(2)|HNE|LRM|LCN|HBS|RAW
1,R3,HRL|HNE|RCD|RAW|LRM|HBS
1,R4,LCH|HNE|RCD|CPP|LRM|RAW
1,R5,HNE|OCH|LRM|LCN|RCD|HBS|CPP
1,R6,WCI(0)|HNE|RCD|RAW|CPP
1,R7,ARM(2)|HNE
2,C1,ACH(2)|HBS
2,C2,"HNE|ACH(0,2,4,7,8)"
2,C3,WCI(2)|LRM|HNE|RAW
2,D1,ACH(7)|HNE|VRM|TLQ
2,D2,HNE|HBS|HLR|RCD|RAW|CPP
2,D2_mod_t0,"HNE|HBS|RCD|LCN(0,2,4)|RAW|CPP|TUD"
2,D3,LCH|LRM|LCN|ACH(0)|HNE|HBS|RAW
2,D4,"ACH(0,1)|HLR|LCH|WCI(0,1)|LRM|LCN|HBS"
2,D5,LCF(0)|HBS|HNE|CPP|RAW|LRM
2,D6,HNE|TLQ|LRM|LCN|VRM
2,D7,LRM|LCN|CPP|VRM|LCH|OCH|RAW
2,D8,ACH(2)|LCH|LRM|LCN|CPP|VRM|RAW
2,D9,CPP|VRM
2,M1,WCI(0)|HRL|HNE|TRA|RCD
2,M2,ARM(7)|HRL|HNE|HBS
2,M3,HRL|HNE|RCD|CPP
2,R1,HNE|RCW|LRM|HBS|LRM|LCN
2,R2,ACH(2)|HNE|LRM|LCN|HBS
2,R3,HRL|HNE|RAW|RCD|LRM
2,R4,LCH|HNE|CPP|RCD|LRM|LCN|HBS
2,R5,HNE|OCH|LRM|LCN|RCD|HBS|CPP
2,R6,WCI(0)|HNE|RCD|LAD|RAW
2,R7,ARM(2)|HNE|CPP
3,C1,ACH(2)|LRM
3,C2,HNE
3,C3,WCI(2)|LRM|HNE|RAW|TRA
3,D1,ACH(7)|VRM|HNE
3,D2,HNE|HBS|HLR|RCD|VRM|RAW
3,D2_mod_t0,"HNE|HBS|RCD|LCN(0,2,4)|TRD|CPP|VRM"
3,D3,LCH|LRM|LCN|HNE|HBS|RAW|CPP
3,D4,"HLR|LCH|WCI(0,1)|LRM|LCN|ACH(0,1)|HBS"
3,D5,LCF(0)|HBS|HNE|CPP|RCD|RAW|LRM
3,D6,HNE|LRM|TLQ|ACH(0)|RAW
3,D7,LRM|LCN|HNE|HBS|LCH
3,D8,ACH(2)|LCH|LRM|LCN|CPP|HNE|VRM|RAW
3,D9,CPP|VRM|RAW
3,M1,WCI(0)|HRL|HNE|TRA|RCD
3,M2,ARM(7)|HRL|HNE|HBS
3,M3,HLR|HNE|TRA|RAW
3,R1,RRW|HNE|LRM|LCN|HBS|CPP
3,R2,ACH(2)|HNE|LRM|LCN|HBS|RAW
3,R3,HRL|HNE|RAW|RCD|CPP
3,R4,LCH|HNE|CPP|RCD|LRM|LCN|HBS
3,R5,HNE|OCH|LRM|LCN|RCD|HBS
3,R6,WCI(0)|HNE|RCD|RAW|CPP
3,R7,ARM(2)|HNE|TRA
4,C1,ACH(2)
4,C2,"HNE|ACH(0,2,4,7,8)"
4,C3,"LRM|HNE|RAW|ACH(0,2,4,7,8) "
4,D1,ACH(7)|HNE|VRM
4,D2,HNE|HBS|HLR|RCD|CPP|TRD
4,D2_mod_t0,"HNE|HBS|LCN(0,2,4)|TRD|RCD|CPP|RAW"
4,D3,LCH|LRM|LCN|ACH(0)|HNE|RAW|TRD
4,D4,"HLR|LCH|ACH(0,1)|WCI(0,1)|LRM|LCN|HBS"
4,D5,LCF(0)|HBS|HNE|CPP|RAW|LRM
4,D6,TLQ|HNE|LRM|HLR|VRM|CPP
4,D8,"ACH(2)|LCH|CPP|VRM|WCI(0,1,2)|HBS|RAW"
4,D9,CPP|VRM
4,M1,WCI(0)|HRL|HNE|RCD|RAW
4,M2,ARM(7)|HRL|HNE|TRA|RAW
4,M3,HRL|HNE|RCD|LAD|CPP
4,R1,HNE|RCW|RRW|CPP|RCD|HBS
4,R2,ACH(2)|HNE|LRM|LCN|HBS
4,R3,HRL|HNE|RAW|RCD|LRM|LCN
4,R4,LCH|HNE|RAW|CPP
4,R5,HNE|OCH|LRM|LCN|RAW|RCD|CPP
4,R6,WCI(0)|HNE|RCD|RAW
4,R7,ARM(2)|HNE
5,C1,ACH(2)|LRM|HBS
5,C2,HNE|RAW|TRA|LAD
5,C3,WCI(2)|LRM|HNE|RAW|HBS|TRA|VRM
5,D1,ACH(7)|HNE|VRM|TLQ
5,D2_mod_t0,"HNE|HBS|RCD|LCN(0,2,4)|TRD|VRM|RAW"
5,D3,LRM|LCN|LCH|ACH(0)|HNE|HBS|VRM
5,D4,"ACH(0,1)|HLR|LCH|WCI(0,1)|RAW|HBS"
5,D5,LCF(0)|HBS|HNE|CPP|RAW|LRM
5,D6,HNE|LRM|ACH(0)|TLQ
5,D7,LRM|LCN|CPP|VRM|RAW
5,D8,ACH(2)|LCH|LCN(2)|HNE|OCH|RAW
5,D9,CPP|VRM
5,M1,WCI(0)|HRL|HNE|RCD|HBS
5,M2,ARM(7)|HRL|HNE
5,M3,HRL|HNE|RCD|CPP
5,R1,RCW|HNE|RCD|CPP|LCN(0)
5,R2,ACH(2)|HNE|LRM|RAW|HBS
5,R3,HRL|HNE|RCD|RAW|LRM
5,R4,LCH|HNE|CPP|RCD|LRM|LCN
5,R5,HNE|OCH|LRM|LCN|RCD|HBS|CPP|RAW
5,R6,WCI(0)|HNE|RCD|LRM|LCN
5,R7,ARM(2)|HNE
6,C1,ACH(2)|LRM|RAW|RAW|HBS
6,C2,HNE|RAW|TRA
6,C3,WCI(2)|LAD|RAW|TRA
6,D1,ACH(7)|VRM
6,D2_mod_t0,"HNE|HBS|LCN(0,2,4)|RCD|OCH|CPP|RAW"
6,D3,LRM|LCN|LCH|VRM|HNE|HBS|RAW|ACH(0)
6,D4,"LCH|HLR|WCI(0,1)|LRM|LCN|ACH(0,1)|HBS"
6,D5,LCF(0)|HBS|HNE|RAW|LRM|CPP
6,D6,TLQ|HNE|LRM|VRM|ACH(0)|RAW
6,D7,LRM|LCN|HNE|HBS|LCH
6,D8,ACH(2)|LCH|LCN(2)|RAW|LAD|HNE
6,D9,CPP|VRM
6,M1,WCI(0)|HRL|HNE|HBS
6,M2,ARM(7)|HRL|HNE|HBS|RAW
6,M3,HRL|HNE|RCD|LAD|CPP
6,R1,RCW|HNE|RCD
6,R2,ACH(2)|HNE|LRM|LCN|HBS
6,R3,HRL|HNE|RCD|RAW|LRM|HBS
6,R4,LCH|HNE|CPP|RCD|LRM|LCN
6,R5,HNE|OCH|LRM|LCN|RCD|HBS|CPP
6,R6,WCI(0)|HNE|RCD|LAD|RAW
6,R7,ARM(2)|HNE
7,C1,ACH(2)|RAW
7,C2,HNE|RAW|LAD|TRA|VRM
7,C3,WCI(2)|LRM|HNE|RAW|HBS
7,D1,ACH(7)|HNE|VRM
7,D2_mod_t0,HNE|HBS|RCD|OCH|CPP|RAW
7,D3,LCH|LRM|LCN|ACH(0)|HNE|HBS|RAW
7,D4,"LCH|HLR|WCI(0,1)|LRM|LCN|ACH(0,1)|HBS"
7,D5,LCF(0)|HBS|HNE|CPP|RAW|LRM
7,D6,HNE|HLR|LRM|LCN|TLQ|ACH(0)|HBS
7,D7,LRM|LCN|CPP|VRM|LCH|ACH(0)|TLQ|TRD|TUD|TAN
7,D8,ACH(2)|LCH|LRM|LCN|CPP|OCH|HNE
7,D9,CPP|VRM|RAW|TRA
7,M1,WCI(0)|HRL|HNE
7,M2,ARM(7)|HRL|HNE
7,M3,HRL|HNE|RCD|TRA
7,R1,RCW|HNE|RCD|TRA
7,R2,ACH(2)|HNE|LRM|LCN|HBS|RAW
7,R3,HRL|HNE|RAW|RCD|CPP
7,R4,LCH|HNE|CPP|RCD|LRM|LCN|HBS
7,R5,HNE|OCH|LRM|LCN|RCD|HBS|RAW|CPP
7,R6,WCI(0)|HNE|RCD|RAW|LRM|LCN
7,R7,ARM(2)|HNE
8,C1,ACH(2)|RAW
8,C2,"HNE|LRM|LCN|ACH(0,2,4,7,8)"
8,C3,WCI(2)|RAW|TRA|LAD
8,D1,ACH(7)|HNE|VRM
8,D2_mod_t0,HNE|HBS|RCD|TRD|CPP|VRM|OCH
8,D3,LCH|LRM|LCN|ACH(0)|HNE|HBS|RAW
8,D4,"LCH|HLR|WCI(0,1)|LRM|LCN|ACH(0,1)|HBS"
8,D5,LCF(0)|HBS|HNE|CPP|RAW
8,D6,HNE|LRM|TLQ|ACH(0)|RAW
8,D7,LRM|LCN|CPP|HRL|VRM
8,D8,ACH(2)|LCH|LCN(2)|LRM|LCN|HNE|HBS|OCH|VRM
8,D9,CPP|LRM|LCN|HNE|VRM
8,M1,WCI(0)|HRL|HNE|TRA|RCD
8,M2,ARM(7)|HRL|HNE|TRA
8,M3,HRL|HNE|RCD|LAD|CPP
8,R1,RCW|HNE|RCD|HBS|CPP|LRM|LCN
8,R2,ACH(2)|HNE|LRM|LCN|HBS
8,R3,HRL|HNE|RAW|RCD|CPP
8,R4,LCH|HNE|CPP|RCD|LRM|LCN
8,R5,HNE|OCH|LRM|LCN|RCD|RAW|CPP
8,R6,WCI(0)|HNE|RCD|LAD|RAW
8,R7,ARM(2)|HNE|HBS|TRA|RCD
9,C1,ACH(2)|RAW
9,C2,HNE|RAW|LAD|TRA
9,C3,WCI(2)|HNE|RAW|LRM|HBS
9,D1,ACH(7)|HNE|VRM|CPP
9,D2_mod_t0,"HNE|HBS|RCD|LCN(0,2,4)|RAW|CPP|VRM"
9,D3,LCH|LRM|LCN|ACH(0)|HNE|HBS|RAW
9,D4,"LCH|HLR|WCI(0,1)|ACH(0,1)|LRM|LCN|HBS"
9,D5,LCF(0)|HBS|HNE|RAW|LRM|CPP
9,D6,HNE|LRM|ACH(0)|TLQ
9,D7,LRM|LCN|HNE|HBS|OCH|LCH|ACH(0)|RAW|CPP
9,D8,ACH(2)|LCH|LRM|LCN|OCH|HNE|HBS
9,D9,CPP|VRM|HNE
9,M1,WCI(0)|HRL|HNE|HBS
9,M2,ARM(7)|HRL|HNE
9,M3,HRL|HNE|RCD|LAD|TRA|HBS
9,R1,RCW|HNE|RCD|HBS|LRM|LCN
9,R2,ACH(2)|HNE|RCD|HBS|RAW
9,R3,HRL|HNE|RCD|RAW|LRM|HBS
9,R4,LCH|HNE|CPP|RCD|LRM|LCN
9,R5,HNE|OCH|LRM|LCN|RCD|HBS|RAW|TRA
9,R6,WCI(0)|HNE|RCD|LAD|RAW
9,R7,ARM(2)|HNE|TRA
